,reviews,scores,compound,label
313," roles offered were sde, data scientist, quant researcher and equity analyst","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
315, the students can go to the library even late at night for studies and during examinations,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
316, libraries and lounge halls are opened for 24 hours for facilitating students in their studies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
318, the lecture hall ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
320," in the last year 2019, a student from our course got the highest salary package in our college, e","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
321, about 10% of students choose to pursue core courses or opt for higher studies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
322,"classrooms at iit kanpur are equipped with air-conditioners, wi-fi and every sophisticat","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
324," in the year 2020, a student from our course got placed with the highest salary package of 5 crores per annum","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
327, campus also have own health centre (small hospital) and start of the art laboratory which equipped with all the equipment that a student needed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
328, also pk kelkar library which contains ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
329," wi-fi router is available in the halls, academic area, library and lecture halls","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
332," the library has every book you can think  the hostels have a study area, and lan with speed up to 400 mbps","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
333," in our course, the highest salary package offered is 35 lpa, and around 50% of the students got selected for this salary package","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
334, others went for higher studies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
336," out of 19 students, only 10 appeared for placements, and the rest went for further studies","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
337, only 20% of students got internships in agro-tech startups and software development companies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
342,if you have a 4 yr course placements start from the end of 3rd year and for 5 yr at the end of 4th year,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
348,the students are eligible for placement in the last semester of their courses,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
349,main jobs available here is in the coding sector,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
350,few core jobs are also available,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
355,if you are from a single degree course e,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
356," btech, then you become eligible after the 8th semester and if you are from an integrated msc course or mtech course, then you become eligible after the 10th semester for campus placements","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
360, almost 180 students are taught by a single faculty in this online semester,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
364, after getting the degree i will study for civil services,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
367, we have been provided with all lab facilities,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
369, we also have a digital library,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
370, classrooms are accommodated with air-conditi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
371," still, some students got nothing, but they usually go for higher studies","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
376,high-speed wi-fi is available 24*7 throughout the campus,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
377, labs and classrooms comprise of every thing one could ask for,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
379,about 80% of the students got placed from our course,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
380,"wi-fi is average, but classrooms have air-conditioners","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
381," classrooms have central air-conditioners, and i ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
384," the highest package offered is about 25-27 lpa, and students from the chemistry department can apply for any profile in core chemical companies or for software developer, finance, business analyst, etc","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
385, the college has the largest library in asia,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
386,about 90% of the students are placed in my course,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
388, all labs are ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
392, all the sports facilities are available,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
393," my course is agriculture, but all the students of my course got placed in either it or finance companies, and the rest applied for higher studies","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
397,the classrooms and laboratories have air-conditioners and wi-fi with high speed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,academic
